ID,SiteNumber,SiteLocation,ClusterName,SiteAcronym,Date,Month,Depth,Temperature,DO,pH,SecchiDisk,SamplesCollected,SampleType,Comments
12108,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12109,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12110,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12111,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12112,HTC,Head of the Tempe Canal,tempe,head of tempe canal,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12113,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12114,SPT Out,Tempe's South Plant treated water,tempe,STP Out,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12115,Glen In,Glendale WTP inlet,NA,Glen In,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12116,Glen Out,Glendale WTP outlet,NA,Glen Out,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12117,Green In,Greenway WTP Inlet,srp,Green In,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12118,Green Out,Greenway WTP Outlet,srp,Green Out,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12119,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12120,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12121,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12122,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12123,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12124,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12125,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12126,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12127,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12128,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12129,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12130,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12131,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12132,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12133,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12134,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12135,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12136,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12137,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12138,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12139,R2,Lake Pleasant integrated sample,cap,pleasant,1/9/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12140,R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,1/10/2011,1,NA,11.2,9.5,NA,2.4,NA,NA,NA
12141,R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,1/10/2011,1,NA,11.1,9.6,NA,NA,NA,NA,NA
12142,R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,1/10/2011,1,NA,11.1,9.6,NA,NA,NA,NA,NA
12143,R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,1/10/2011,1,NA,11,9.1,NA,NA,NA,NA,NA
12144,R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,1/10/2011,1,NA,10.9,10.5,NA,NA,NA,NA,NA
12145,R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,1/10/2011,1,NA,10.6,8,NA,NA,NA,NA,NA
12146,R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,1/10/2011,1,NA,10.5,8.1,NA,NA,NA,NA,NA
12147,R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,1/10/2011,1,NA,10.4,8.3,NA,NA,NA,NA,NA
12148,R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,1/10/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12149,R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,1/10/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12150,R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,1/10/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12151,R9A,Saguaro Lake near inlet,salt,saguaro-0m,1/10/2011,1,NA,12.7,8,NA,3.4,NA,NA,NA
12152,R9-5,Saguaro Lake near inlet,salt,saguaro-5m,1/10/2011,1,NA,12.8,8.2,NA,NA,NA,NA,NA
12153,R9-10,Saguaro Lake near inlet,salt,saguaro-10m,1/10/2011,1,NA,12.8,8.3,NA,NA,NA,NA,NA
12154,R9-15,Saguaro Lake near inlet,salt,saguaro-15m,1/10/2011,1,NA,12.8,7.9,NA,NA,NA,NA,NA
12155,R9-20,Saguaro Lake near inlet,salt,saguaro-20m,1/10/2011,1,NA,12.8,8.3,NA,NA,NA,NA,NA
12156,R9-25,Saguaro Lake near inlet,salt,saguaro-25m,1/10/2011,1,NA,12.8,7.9,NA,NA,NA,NA,NA
12157,R9-30,Saguaro Lake near inlet,salt,saguaro-30m,1/10/2011,1,NA,12.7,8,NA,NA,NA,NA,NA
12158,R9-35,Saguaro Lake near inlet,salt,saguaro-35m,1/10/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12159,R9-40,Saguaro Lake near inlet,salt,saguaro-40m,1/10/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12160,R9-45,Saguaro Lake near inlet,salt,saguaro-45m,1/10/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12161,R9-50,Saguaro Lake near inlet,salt,saguaro-50m,1/10/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12162,R20,Verde River at Tangle,verde,verde abv horseshoe,1/10/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12163,Havasu 1,Havasu lake Sample,NA,Havasu 1,1/10/2011,1,NA,NA,NA,NA,NA,NA,NA,NA
12164,R3,Waddell Canal,cap,waddell canal,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12165,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12166,R11,CAP Canal at Cross-connect,cap,cap @ x con,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12167,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12168,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12169,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12170,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12171,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12172,R17,Deer Valley WTP treated water,srp,deer valley-treated,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12173,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12174,R19,Val Vista WTP treated water,srp,val vista-treated,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12175,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12176,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12177,R25,verde river at beeline highway,verde,verde @ beeline,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12178,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12179,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12180,UH In,Union Hills Inlet,cap,Union Hills Inlet,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12181,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12182,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12183,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12184,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12185,HTC,Head of the Tempe Canal,tempe,head of tempe canal,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12186,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12187,SPT Out,Tempe's South Plant treated water,tempe,STP Out,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12188,Glen In,Glendale WTP inlet,NA,Glen In,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12189,Glen Out,Glendale WTP outlet,NA,Glen Out,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12190,Green In,Greenway WTP Inlet,srp,Green In,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12191,Green Out,Greenway WTP Outlet,srp,Green Out,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12192,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12193,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12194,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12195,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12196,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12197,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12198,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12199,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12200,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12201,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12202,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12203,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12204,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12205,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12206,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12207,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12208,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12209,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12210,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12211,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12212,R2,Lake Pleasant integrated sample,cap,pleasant,2/6/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12213,R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,2/7/2012,2,NA,10.8,10.1,NA,1.8,NA,NA,NA
12214,R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,2/7/2012,2,NA,10.6,10.3,NA,NA,NA,NA,NA
12215,R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,2/7/2012,2,NA,10.6,10.3,NA,NA,NA,NA,NA
12216,R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,2/7/2012,2,NA,10.5,10.2,NA,NA,NA,NA,NA
12217,R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,2/7/2012,2,NA,10.5,10.1,NA,NA,NA,NA,NA
12218,R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,2/7/2012,2,NA,10.4,10.2,NA,NA,NA,NA,NA
12219,R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,2/7/2012,2,NA,10.2,8.8,NA,NA,NA,NA,NA
12220,R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,2/7/2012,2,NA,10.2,4.3,NA,NA,NA,NA,NA
12221,R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,2/7/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12222,R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,2/7/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12223,R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,2/7/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12224,R9A,Saguaro Lake near inlet,salt,saguaro-0m,2/7/2012,2,NA,12.3,10.3,NA,2.7,NA,NA,NA
12225,R9-5,Saguaro Lake near inlet,salt,saguaro-5m,2/7/2012,2,NA,12.3,10.9,NA,NA,NA,NA,NA
12226,R9-10,Saguaro Lake near inlet,salt,saguaro-10m,2/7/2012,2,NA,12.3,9.3,NA,NA,NA,NA,NA
12227,R9-15,Saguaro Lake near inlet,salt,saguaro-15m,2/7/2012,2,NA,12.2,8.4,NA,NA,NA,NA,NA
12228,R9-20,Saguaro Lake near inlet,salt,saguaro-20m,2/7/2012,2,NA,12.2,8.3,NA,NA,NA,NA,NA
12229,R9-25,Saguaro Lake near inlet,salt,saguaro-25m,2/7/2012,2,NA,12.2,8.2,NA,NA,NA,NA,NA
12230,R9-30,Saguaro Lake near inlet,salt,saguaro-30m,2/7/2012,2,NA,12.2,8,NA,NA,NA,NA,NA
12231,R9-35,Saguaro Lake near inlet,salt,saguaro-35m,2/7/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12232,R9-40,Saguaro Lake near inlet,salt,saguaro-40m,2/7/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12233,R9-45,Saguaro Lake near inlet,salt,saguaro-45m,2/7/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12234,R9-50,Saguaro Lake near inlet,salt,saguaro-50m,2/7/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12235,R20,Verde River at Tangle,verde,verde abv horseshoe,2/7/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12236,Havasu 1,Havasu lake Sample,NA,Havasu 1,2/7/2012,2,NA,NA,NA,NA,NA,NA,NA,NA
12237,R3,Waddell Canal,cap,waddell canal,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12238,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12239,R11,CAP Canal at Cross-connect,cap,cap @ x con,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12240,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12241,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12242,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12243,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12244,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12245,R17,Deer Valley WTP treated water,srp,deer valley-treated,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12246,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12247,R19,Val Vista WTP treated water,srp,val vista-treated,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12248,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12249,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12250,R25,verde river at beeline highway,verde,verde @ beeline,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12251,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12252,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12253,UH In,Union Hills Inlet,cap,Union Hills Inlet,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12254,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12255,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12256,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12257,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12258,HTC,Head of the Tempe Canal,tempe,head of tempe canal,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12259,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12260,SPT Out,Tempe's South Plant treated water,tempe,STP Out,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12261,Glen In,Glendale WTP inlet,NA,Glen In,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12262,Glen Out,Glendale WTP outlet,NA,Glen Out,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12263,Green In,Greenway WTP Inlet,srp,Green In,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12264,Green Out,Greenway WTP Outlet,srp,Green Out,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12265,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12266,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12267,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12268,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12269,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12270,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12271,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12272,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12273,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12274,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12275,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12276,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12277,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12278,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12279,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12280,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12281,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12282,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12283,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12284,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12285,R2,Lake Pleasant integrated sample,cap,pleasant,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12286,R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,3/6/2012,3,NA,12.7,9.6,NA,2.1,NA,NA,NA
12287,R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,3/6/2012,3,NA,12.4,8.9,NA,NA,NA,NA,NA
12288,R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,3/6/2012,3,NA,11.9,9.1,NA,NA,NA,NA,NA
12289,R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,3/6/2012,3,NA,11.6,8.4,NA,NA,NA,NA,NA
12290,R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,3/6/2012,3,NA,11.3,8.1,NA,NA,NA,NA,NA
12291,R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,3/6/2012,3,NA,11.1,7.2,NA,NA,NA,NA,NA
12292,R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,3/6/2012,3,NA,10.9,6.5,NA,NA,NA,NA,NA
12293,R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12294,R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12295,R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12296,R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12297,R9A,Saguaro Lake near inlet,salt,saguaro-0m,3/6/2012,3,NA,14.1,9.7,NA,4,NA,NA,NA
12298,R9-5,Saguaro Lake near inlet,salt,saguaro-5m,3/6/2012,3,NA,13.7,9.5,NA,NA,NA,NA,NA
12299,R9-10,Saguaro Lake near inlet,salt,saguaro-10m,3/6/2012,3,NA,13.3,8.9,NA,NA,NA,NA,NA
12300,R9-15,Saguaro Lake near inlet,salt,saguaro-15m,3/6/2012,3,NA,13.1,8.8,NA,NA,NA,NA,NA
12301,R9-20,Saguaro Lake near inlet,salt,saguaro-20m,3/6/2012,3,NA,13,8.5,NA,NA,NA,NA,NA
12302,R9-25,Saguaro Lake near inlet,salt,saguaro-25m,3/6/2012,3,NA,12.9,8,NA,NA,NA,NA,NA
12303,R9-30,Saguaro Lake near inlet,salt,saguaro-30m,3/6/2012,3,NA,12.8,7.2,NA,NA,NA,NA,NA
12304,R9-35,Saguaro Lake near inlet,salt,saguaro-35m,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12305,R9-40,Saguaro Lake near inlet,salt,saguaro-40m,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12306,R9-45,Saguaro Lake near inlet,salt,saguaro-45m,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12307,R9-50,Saguaro Lake near inlet,salt,saguaro-50m,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12308,R20,Verde River at Tangle,verde,verde abv horseshoe,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12309,Havasu 1,Havasu lake Sample,NA,Havasu 1,3/6/2012,3,NA,NA,NA,NA,NA,NA,NA,NA
12310,R3,Waddell Canal,cap,waddell canal,4/2/2012,4,NA,NA,NA,NA,NA,NA,NA,NA
12311,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,4/2/2012,4,NA,NA,NA,NA,NA,NA,NA,NA
12312,R11,CAP Canal at Cross-connect,cap,cap @ x con,4/2/2012,4,NA,NA,NA,NA,NA,NA,NA,NA
12313,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/2/2012,4,NA,NA,NA,NA,NA,NA,NA,NA
12314,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,4/2/2012,4,NA,NA,NA,NA,NA,NA,NA,NA
12315,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,4/2/2012,4,NA,NA,NA,NA,NA,NA,NA,NA
12316,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,4/2/2012,4,NA,NA,NA,NA,NA,NA,NA,NA
12317,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,4/2/2012,4,NA,NA,NA,NA,NA,NA,NA,NA
12318,R17,Deer Valley WTP treated water,srp,deer valley-treated,4/2/2012,4,NA,NA,NA,NA,NA,NA,NA,NA
12319,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,4/2/2012,4,NA,NA,NA,NA,NA,NA,NA,NA
12320,R19,Val Vista WTP treated water,srp,val vista-treated,4/2/2012,4,NA,NA,NA,NA,NA,NA,NA,NA
12321,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,4/2/2012,4,NA,NA,NA,NA,NA,NA,NA,NA
12322,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,4/2/2012,4,NA,NA,NA,NA,NA,NA,NA,NA
