ID,Site_Number,Site_Location,Cluster_Name,Site_Acronym,Date,Month,Sample_Type,Tot_N,Diss_N,Tot_P,Diss_P,NO3_N,NH4_N,DON,Nutrient_comments
6458,R25,verde river at beeline highway,verde,verde @ beeline,6/1/2010,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
6459,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/1/2010,6,NA,NA,0.35,16.1,NA,NA,NA,NA,NA
6460,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/1/2010,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
6461,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/1/2010,6,NA,NA,0.31,12,NA,NA,NA,NA,NA
6462,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,6/1/2010,6,NA,NA,0.31,9.4,NA,NA,NA,NA,NA
6463,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,6/1/2010,6,NA,NA,0.26,NA,NA,NA,NA,NA,NA
6464,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,6/1/2010,6,NA,NA,0.33,13.2,NA,NA,NA,NA,NA
6465,R17,Deer Valley WTP treated water,srp,deer valley-treated,6/1/2010,6,NA,NA,0.24,NA,NA,NA,NA,NA,NA
6466,Green In,Greenway WTP Inlet,srp,Greenway WTP Inlet,6/1/2010,6,NA,NA,0.34,13.3,NA,NA,NA,NA,NA
6467,Green Out,Greenway WTP Outlet,srp,Greenway WTP Outlet,6/1/2010,6,NA,NA,0.32,NA,NA,NA,NA,NA,NA
6468,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,6/1/2010,6,NA,NA,0.32,10.9,NA,NA,NA,NA,NA
6469,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,6/1/2010,6,NA,NA,0.28,NA,NA,NA,NA,NA,NA
6470,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/1/2010,6,NA,NA,0.83,NA,NA,NA,NA,NA,NA
6471,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/1/2010,6,NA,NA,0.29,NA,NA,NA,NA,NA,NA
6472,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/1/2010,6,NA,NA,0.34,5.8,NA,NA,NA,NA,NA
6473,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,6/1/2010,6,NA,NA,0.55,38.7,NA,NA,NA,NA,NA
6474,R9A,Saguaro Lake near inlet,salt,saguaro-epi,6/1/2010,6,NA,NA,0.46,11,NA,NA,NA,NA,NA
6475,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,6/1/2010,6,NA,NA,0.49,12.2,NA,NA,NA,NA,NA
6476,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,6/1/2010,6,NA,NA,0.51,11.1,NA,NA,NA,NA,NA
6477,R20,Verde River at Tangle,verde,verde abv horseshoe,6/1/2010,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
6478,Havasu 1,Havasu lake Sample,NA,Havasu 1,6/1/2010,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
6479,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/1/2010,6,NA,NA,0.31,13.1,NA,NA,NA,NA,NA
6480,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,6/1/2010,6,NA,NA,0.33,12.8,NA,NA,NA,NA,NA
6481,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/1/2010,6,NA,NA,0.29,22.7,NA,NA,NA,NA,NA
6482,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,6/1/2010,6,NA,NA,0.28,9.4,NA,NA,NA,NA,NA
6483,Glendale In,Glendale WTP Inlet,srp,Glendale WTP Inlet,6/1/2010,6,NA,NA,0.32,15.1,NA,NA,NA,NA,NA
6484,Glendale Out,Glendale WTP Outlet,srp,Glendale WTP Outlet,6/1/2010,6,NA,NA,0.24,NA,NA,NA,NA,NA,NA
6485,R3,Waddell Canal,cap,waddell canal,7/1/2010,7,NA,NA,0.71,37,NA,NA,NA,NA,NA
6486,UH In,Union Hills Inlet,cap,Union Hills Inlet,7/1/2010,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
6487,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,7/1/2010,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
6488,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/1/2010,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
6489,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,7/1/2010,7,NA,NA,0.33,45,NA,NA,NA,NA,NA
6490,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,7/1/2010,7,NA,NA,0.25,44.1,NA,NA,NA,NA,NA
6491,R19,Val Vista WTP treated water,srp,val vista-treated,7/1/2010,7,NA,NA,0.24,NA,NA,NA,NA,NA,NA
6492,VV West,Val Vista West WTP treated water,srp,val vista WEST-treated,7/1/2010,7,NA,NA,0.2,NA,NA,NA,NA,NA,NA
6493,HTC,Head of the Tempe Canal,tempe,head of tempe canal,7/1/2010,7,NA,NA,0.28,NA,NA,NA,NA,NA,NA
6494,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,7/1/2010,7,NA,NA,0.31,17,NA,NA,NA,NA,NA
6495,SPT Out,Tempe's South Plant treated water,tempe,STP Out,7/1/2010,7,NA,NA,0.21,NA,NA,NA,NA,NA,NA
6496,R25,verde river at beeline highway,verde,verde @ beeline,7/1/2010,7,NA,NA,0.33,61.2,NA,NA,NA,NA,NA
6497,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,7/1/2010,7,NA,NA,0.27,55.3,NA,NA,NA,NA,NA
6498,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/1/2010,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
6499,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/1/2010,7,NA,NA,0.31,42.9,NA,NA,NA,NA,NA
6500,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/1/2010,7,NA,NA,0.26,33.5,NA,NA,NA,NA,NA
6501,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/1/2010,7,NA,NA,0.19,NA,NA,NA,NA,NA,NA
6502,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/1/2010,7,NA,NA,0.31,64.5,NA,NA,NA,NA,NA
6503,R17,Deer Valley WTP treated water,srp,deer valley-treated,7/1/2010,7,NA,NA,0.23,NA,NA,NA,NA,NA,NA
6504,Green In,Greenway WTP Inlet,srp,Greenway WTP Inlet,7/1/2010,7,NA,NA,0.33,15.4,NA,NA,NA,NA,NA
6505,Green Out,Greenway WTP Outlet,srp,Greenway WTP Outlet,7/1/2010,7,NA,NA,0.29,NA,NA,NA,NA,NA,NA
6506,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,7/1/2010,7,NA,NA,0.34,50.5,NA,NA,NA,NA,NA
6507,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,7/1/2010,7,NA,NA,0.55,NA,NA,NA,NA,NA,NA
6508,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,7/1/2010,7,NA,NA,0.32,17.9,NA,NA,NA,NA,NA
6509,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,7/1/2010,7,NA,NA,0.76,25.8,NA,NA,NA,NA,NA
6510,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,7/1/2010,7,NA,NA,0.36,10.4,NA,NA,NA,NA,NA
6511,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,7/1/2010,7,NA,NA,0.44,14.7,NA,NA,NA,NA,NA
6512,R9A,Saguaro Lake near inlet,salt,saguaro-epi,7/1/2010,7,NA,NA,0.5,17.6,NA,NA,NA,NA,NA
6513,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,7/1/2010,7,NA,NA,0.46,21,NA,NA,NA,NA,NA
6514,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,7/1/2010,7,NA,NA,0.52,18.7,NA,NA,NA,NA,NA
6515,R20,Verde River at Tangle,verde,verde abv horseshoe,7/1/2010,7,NA,NA,0.26,83,NA,NA,NA,NA,NA
6516,Havasu 1,Havasu lake Sample,NA,Havasu 1,7/1/2010,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
6517,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/1/2010,7,NA,NA,0.27,39.2,NA,NA,NA,NA,NA
6518,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/1/2010,7,NA,NA,0.27,35,NA,NA,NA,NA,NA
6519,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/1/2010,7,NA,NA,0.29,45,NA,NA,NA,NA,NA
6520,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/1/2010,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
6521,Glendale In,Glendale WTP Inlet,srp,Glendale WTP Inlet,7/1/2010,7,NA,NA,0.3,57.3,NA,NA,NA,NA,NA
6522,Glendale Out,Glendale WTP Outlet,srp,Glendale WTP Outlet,7/1/2010,7,NA,NA,0.22,NA,NA,NA,NA,NA,NA
6523,R3,Waddell Canal,cap,waddell canal,8/1/2010,8,NA,NA,0.69,35,NA,NA,NA,NA,NA
6524,UH In,Union Hills Inlet,cap,Union Hills Inlet,8/1/2010,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
6525,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,8/1/2010,8,NA,NA,0.59,NA,NA,NA,NA,NA,NA
6526,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/1/2010,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
6527,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,8/1/2010,8,NA,NA,0.3,40.4,NA,NA,NA,NA,NA
6528,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/1/2010,8,NA,NA,0.25,63.3,NA,NA,NA,NA,NA
6529,R19,Val Vista WTP treated water,srp,val vista-treated,8/1/2010,8,NA,NA,0.19,NA,NA,NA,NA,NA,NA
6530,VV West,Val Vista West WTP treated water,srp,val vista WEST-treated,8/1/2010,8,NA,NA,0.18,NA,NA,NA,NA,NA,NA
6531,HTC,Head of the Tempe Canal,tempe,head of tempe canal,8/1/2010,8,NA,NA,NA,35.8,NA,NA,NA,NA,NA
6532,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,8/1/2010,8,NA,NA,0.61,19.2,NA,NA,NA,NA,NA
6533,SPT Out,Tempe's South Plant treated water,tempe,STP Out,8/1/2010,8,NA,NA,0.21,NA,NA,NA,NA,NA,NA
6534,R25,verde river at beeline highway,verde,verde @ beeline,8/1/2010,8,NA,NA,0.29,NA,NA,NA,NA,NA,NA
6535,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/1/2010,8,NA,NA,0.31,36.5,NA,NA,NA,NA,NA
6536,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/1/2010,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
6537,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/1/2010,8,NA,NA,0.28,38.1,NA,NA,NA,NA,NA
6538,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/1/2010,8,NA,NA,0.35,25.5,NA,NA,NA,NA,NA
6539,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/1/2010,8,NA,NA,0.19,NA,NA,NA,NA,NA,NA
6540,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/1/2010,8,NA,NA,0.44,42.6,NA,NA,NA,NA,NA
6541,R17,Deer Valley WTP treated water,srp,deer valley-treated,8/1/2010,8,NA,NA,0.26,NA,NA,NA,NA,NA,NA
6542,Green In,Greenway WTP Inlet,srp,Greenway WTP Inlet,8/1/2010,8,NA,NA,0.44,87.5,NA,NA,NA,NA,NA
6543,Green Out,Greenway WTP Outlet,srp,Greenway WTP Outlet,8/1/2010,8,NA,NA,0.42,NA,NA,NA,NA,NA,NA
6544,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,8/1/2010,8,NA,NA,0.28,25.9,NA,NA,NA,NA,NA
6545,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,8/1/2010,8,NA,NA,0.68,NA,NA,NA,NA,NA,NA
6546,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/1/2010,8,NA,NA,0.73,12.4,NA,NA,NA,NA,NA
6547,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/1/2010,8,NA,NA,0.3,7.3,NA,NA,NA,NA,NA
6548,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/1/2010,8,NA,NA,0.28,16.4,NA,NA,NA,NA,NA
6549,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/1/2010,8,NA,NA,0.39,12.1,NA,NA,NA,NA,NA
6550,R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/1/2010,8,NA,NA,0.45,16.3,NA,NA,NA,NA,NA
6551,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,8/1/2010,8,NA,NA,0.49,15,NA,NA,NA,NA,NA
6552,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/1/2010,8,NA,NA,0.73,16.7,NA,NA,NA,NA,NA
6553,R20,Verde River at Tangle,verde,verde abv horseshoe,8/1/2010,8,NA,NA,0.15,54.5,NA,NA,NA,NA,NA
6554,Havasu 1,Havasu lake Sample,NA,Havasu 1,8/1/2010,8,NA,NA,0.51,4.7,NA,NA,NA,NA,NA
6555,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,8/1/2010,8,NA,NA,0.3,33.6,NA,NA,NA,NA,NA
6556,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,8/1/2010,8,NA,NA,0.29,29.6,NA,NA,NA,NA,NA
6557,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/1/2010,8,NA,NA,NA,31.1,NA,NA,NA,NA,NA
6558,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,8/1/2010,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
6559,Glendale In,Glendale WTP Inlet,srp,Glendale WTP Inlet,8/1/2010,8,NA,NA,0.33,37.7,NA,NA,NA,NA,NA
6560,Glendale Out,Glendale WTP Outlet,srp,Glendale WTP Outlet,8/1/2010,8,NA,NA,0.27,NA,NA,NA,NA,NA,NA
6561,R3,Waddell Canal,cap,waddell canal,9/1/2010,9,NA,NA,0.5,27.1,NA,NA,NA,NA,NA
6562,UH In,Union Hills Inlet,cap,Union Hills Inlet,9/1/2010,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
6563,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,9/1/2010,9,NA,NA,0.34,NA,NA,NA,NA,NA,NA
6564,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/1/2010,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
6565,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,9/1/2010,9,NA,NA,0.35,NA,NA,NA,NA,NA,NA
6566,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,9/1/2010,9,NA,NA,0.43,73,NA,NA,NA,NA,NA
6567,R19,Val Vista WTP treated water,srp,val vista-treated,9/1/2010,9,NA,NA,0.34,NA,NA,NA,NA,NA,NA
6568,VV West,Val Vista West WTP treated water,srp,val vista WEST-treated,9/1/2010,9,NA,NA,0.27,NA,NA,NA,NA,NA,NA
6569,HTC,Head of the Tempe Canal,tempe,head of tempe canal,9/1/2010,9,NA,NA,0.34,43.4,NA,NA,NA,NA,NA
6570,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,9/1/2010,9,NA,NA,0.35,29.8,NA,NA,NA,NA,NA
6571,SPT Out,Tempe's South Plant treated water,tempe,STP Out,9/1/2010,9,NA,NA,0.3,NA,NA,NA,NA,NA,NA
6572,R25,verde river at beeline highway,verde,verde @ beeline,9/1/2010,9,NA,NA,0.26,32.4,NA,NA,NA,NA,NA
6573,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/1/2010,9,NA,NA,0.39,33.3,NA,NA,NA,NA,NA
6574,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/1/2010,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
6575,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/1/2010,9,NA,NA,0.4,36.6,NA,NA,NA,NA,NA
6576,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,9/1/2010,9,NA,NA,0.35,NA,NA,NA,NA,NA,NA
6577,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,9/1/2010,9,NA,NA,0.3,NA,NA,NA,NA,NA,NA
6578,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,9/1/2010,9,NA,NA,0.72,67.3,NA,NA,NA,NA,NA
6579,R17,Deer Valley WTP treated water,srp,deer valley-treated,9/1/2010,9,NA,NA,0.58,NA,NA,NA,NA,NA,NA
6580,Green In,Greenway WTP Inlet,srp,Greenway WTP Inlet,9/1/2010,9,NA,NA,1.68,38.1,NA,NA,NA,NA,NA
6581,Green Out,Greenway WTP Outlet,srp,Greenway WTP Outlet,9/1/2010,9,NA,NA,1.34,NA,NA,NA,NA,NA,NA
6582,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,9/1/2010,9,NA,NA,0.35,46.2,NA,NA,NA,NA,NA
6583,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,9/1/2010,9,NA,NA,0.3,NA,NA,NA,NA,NA,NA
6584,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/1/2010,9,NA,NA,0.61,25.2,NA,NA,NA,NA,NA
6585,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/1/2010,9,NA,NA,0.33,10.6,NA,NA,NA,NA,NA
6586,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/1/2010,9,NA,NA,0.42,15.6,NA,NA,NA,NA,NA
6587,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/1/2010,9,NA,NA,0.59,10.4,NA,NA,NA,NA,NA
6588,R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/1/2010,9,NA,NA,0.41,17,NA,NA,NA,NA,NA
6589,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,9/1/2010,9,NA,NA,0.49,16.7,NA,NA,NA,NA,NA
6590,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,9/1/2010,9,NA,NA,0.71,19.3,NA,NA,NA,NA,NA
6591,R20,Verde River at Tangle,verde,verde abv horseshoe,9/1/2010,9,NA,NA,1.03,36.7,NA,NA,NA,NA,NA
6592,Havasu 1,Havasu lake Sample,NA,Havasu 1,9/1/2010,9,NA,NA,0.6,13,NA,NA,NA,NA,NA
6593,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,9/1/2010,9,NA,NA,0.35,59.3,NA,NA,NA,NA,NA
6594,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,9/1/2010,9,NA,NA,0.35,40.3,NA,NA,NA,NA,NA
6595,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,9/1/2010,9,NA,NA,0.33,40,NA,NA,NA,NA,NA
6596,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,9/1/2010,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
6597,Glendale In,Glendale WTP Inlet,srp,Glendale WTP Inlet,9/1/2010,9,NA,NA,0.94,58.2,NA,NA,NA,NA,NA
6598,Glendale Out,Glendale WTP Outlet,srp,Glendale WTP Outlet,9/1/2010,9,NA,NA,1.06,NA,NA,NA,NA,NA,NA
6599,R3,Waddell Canal,cap,waddell canal,10/1/2010,10,NA,NA,0.48,7.2,NA,NA,NA,NA,NA
6600,UH In,Union Hills Inlet,cap,Union Hills Inlet,10/1/2010,10,NA,NA,0.48,9.6,NA,NA,NA,NA,NA
6601,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,10/1/2010,10,NA,NA,0.41,NA,NA,NA,NA,NA,NA
6602,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/1/2010,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
6603,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,10/1/2010,10,NA,NA,0.51,37.6,NA,NA,NA,NA,NA
6604,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/1/2010,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
6605,R19,Val Vista WTP treated water,srp,val vista-treated,10/1/2010,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
6606,VV West,Val Vista West WTP treated water,srp,val vista WEST-treated,10/1/2010,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
6607,HTC,Head of the Tempe Canal,tempe,head of tempe canal,10/1/2010,10,NA,NA,0.43,30.9,NA,NA,NA,NA,NA
6608,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,10/1/2010,10,NA,NA,0.4,32.6,NA,NA,NA,NA,NA
6609,SPT Out,Tempe's South Plant treated water,tempe,STP Out,10/1/2010,10,NA,NA,0.32,NA,NA,NA,NA,NA,NA
6610,R25,verde river at beeline highway,verde,verde @ beeline,10/1/2010,10,NA,NA,0.38,39.7,NA,NA,NA,NA,NA
6611,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/1/2010,10,NA,NA,0.35,32.3,NA,NA,NA,NA,NA
6612,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/1/2010,10,NA,NA,0.38,48.2,NA,NA,NA,NA,NA
6613,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/1/2010,10,NA,NA,0.39,42.8,NA,NA,NA,NA,NA
6614,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/1/2010,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
6615,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/1/2010,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
6616,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/1/2010,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
6617,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/1/2010,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
6618,Green In,Greenway WTP Inlet,srp,Greenway WTP Inlet,10/1/2010,10,NA,NA,0.49,39.1,NA,NA,NA,NA,NA
6619,Green Out,Greenway WTP Outlet,srp,Greenway WTP Outlet,10/1/2010,10,NA,NA,0.46,NA,NA,NA,NA,NA,NA
6620,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,10/1/2010,10,NA,NA,0.39,28,NA,NA,NA,NA,NA
6621,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,10/1/2010,10,NA,NA,0.68,NA,NA,NA,NA,NA,NA
6622,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,10/1/2010,10,NA,NA,0.51,30.1,NA,NA,NA,NA,NA
6623,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,10/1/2010,10,NA,NA,0.34,18.4,NA,NA,NA,NA,NA
6624,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,10/1/2010,10,NA,NA,0.29,10.4,NA,NA,NA,NA,NA
6625,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,10/1/2010,10,NA,NA,0.35,9.9,NA,NA,NA,NA,NA
6626,R9A,Saguaro Lake near inlet,salt,saguaro-epi,10/1/2010,10,NA,NA,0.4,11.5,NA,NA,NA,NA,NA
6627,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,10/1/2010,10,NA,NA,0.46,12.9,NA,NA,NA,NA,NA
6628,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,10/1/2010,10,NA,NA,0.54,35.7,NA,NA,NA,NA,NA
6629,R20,Verde River at Tangle,verde,verde abv horseshoe,10/1/2010,10,NA,NA,0.1,14.4,NA,NA,NA,NA,NA
6630,Havasu 1,Havasu lake Sample,NA,Havasu 1,10/1/2010,10,NA,NA,0.57,22.3,NA,NA,NA,NA,NA
6631,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,10/1/2010,10,NA,NA,0.38,31.2,NA,NA,NA,NA,NA
6632,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/1/2010,10,NA,NA,0.37,29,NA,NA,NA,NA,NA
6633,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,10/1/2010,10,NA,NA,0.39,36.6,NA,NA,NA,NA,NA
6634,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,10/1/2010,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
6635,Glendale In,Glendale WTP Inlet,srp,Glendale WTP Inlet,10/1/2010,10,NA,NA,0.41,55.1,NA,NA,NA,NA,NA
6636,Glendale Out,Glendale WTP Outlet,srp,Glendale WTP Outlet,10/1/2010,10,NA,NA,0.32,NA,NA,NA,NA,NA,NA
6637,R3,Waddell Canal,cap,waddell canal,11/1/2010,11,NA,NA,0.49,9.8,NA,NA,NA,NA,NA
6638,UH In,Union Hills Inlet,cap,Union Hills Inlet,11/1/2010,11,NA,NA,0.5,7.5,NA,NA,NA,NA,NA
6639,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,11/1/2010,11,NA,NA,0.44,NA,NA,NA,NA,NA,NA
6640,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/1/2010,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
6641,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,11/1/2010,11,NA,NA,0.39,20.1,NA,NA,NA,NA,NA
6642,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/1/2010,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
6643,R19,Val Vista WTP treated water,srp,val vista-treated,11/1/2010,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
6644,VV West,Val Vista West WTP treated water,srp,val vista WEST-treated,11/1/2010,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
6645,HTC,Head of the Tempe Canal,tempe,head of tempe canal,11/1/2010,11,NA,NA,0.32,18.3,NA,NA,NA,NA,NA
6646,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,11/1/2010,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
6647,SPT Out,Tempe's South Plant treated water,tempe,STP Out,11/1/2010,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
6648,R25,verde river at beeline highway,verde,verde @ beeline,11/1/2010,11,NA,NA,0.31,14.9,NA,NA,NA,NA,NA
6649,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/1/2010,11,NA,NA,0.33,17.7,NA,NA,NA,NA,NA
6650,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/1/2010,11,NA,NA,0.3,21.9,NA,NA,NA,NA,NA
6651,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/1/2010,11,NA,NA,0.36,25.3,NA,NA,NA,NA,NA
6652,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/1/2010,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
6653,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/1/2010,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
