ID,SiteNumber,SiteLocation,ClusterName,SiteAcronym,Date,Month,SampleType,TOC,DOC,UVA,SUVA,PeakInt,PeakIntWL,Intat450,Intat460,Intat500,Fl,docm_comments
7883,R25,verde river at beeline highway,verde,verde @ beeline,1/7/2013,1,NA,NA,2.08,0.03,1.49,NA,NA,NA,NA,NA,NA,NA
7884,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,1/7/2013,1,NA,NA,3.19,0.03,1.22,NA,NA,NA,NA,NA,NA,NA
7885,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,1/7/2013,1,NA,NA,3.38,0.03,1.15,NA,NA,NA,NA,NA,NA,NA
7882,R3,Waddell Canal,cap,waddell canal,1/7/2013,1,NA,NA,4.34,0.04,0.94,NA,NA,NA,NA,NA,NA,NA
7883,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,1/7/2013,1,NA,NA,2.61,0.04,1.72,NA,NA,NA,NA,NA,NA,NA
7884,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,1/7/2013,1,NA,NA,2.53,0.04,1.73,NA,NA,NA,NA,NA,NA,NA
7885,R9A,Saguaro Lake near inlet,salt,saguaro-epi,1/7/2013,1,NA,NA,4.59,0.06,1.35,NA,NA,NA,NA,NA,NA,NA
7886,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi dup,1/7/2013,1,NA,NA,4.47,0.06,1.36,NA,NA,NA,NA,NA,NA,NA
7887,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,1/7/2013,1,NA,NA,4.49,0.06,1.35,NA,NA,NA,NA,NA,NA,NA
7888,Roos In ,Roos In ,NA,Roos In ,1/7/2013,1,NA,NA,1.04,0.01,1.53,NA,NA,NA,NA,NA,NA,NA
7889,Salt Gila,Salt Gila,NA,Salt Gila,1/7/2013,1,NA,NA,3.13,0.03,1.21,NA,NA,NA,NA,NA,NA,NA
7890,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,1/7/2013,1,NA,NA,2.76,0.04,1.48,NA,NA,NA,NA,NA,NA,NA
7891,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,1/7/2013,1,NA,NA,1.8,0.02,1.55,NA,NA,NA,NA,NA,NA,NA
7892,SPT Out,Tempe's South Plant treated water,tempe,STP Out,1/7/2013,1,NA,NA,1.21,0.006,0.49,NA,NA,NA,NA,NA,NA,NA
7893,UH In,Union Hills Inlet,cap,Union Hills Inlet,1/7/2013,1,NA,NA,3.07,0.04,1.36,NA,NA,NA,NA,NA,NA,NA
7894,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,1/7/2013,1,NA,NA,2.66,0.02,0.78,NA,NA,NA,NA,NA,NA,NA
7895,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2/4/2013,2,NA,NA,4.5,0.13,2.95,NA,NA,NA,NA,NA,NA,NA
7896,An in,Anthem WTP inlet,NA,anthem,2/4/2013,2,NA,NA,3.9,0.04,1.17,NA,NA,NA,NA,NA,NA,NA
7897,An out,Anthem WTP outlet,NA,anthem,2/4/2013,2,NA,NA,2.6,0.04,1.69,NA,NA,NA,NA,NA,NA,NA
7898,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2/4/2013,2,NA,NA,5.2,0.15,2.92,NA,NA,NA,NA,NA,NA,NA
7899,Ch in,Chandler WTP inlet,NA,chandler,2/4/2013,2,NA,NA,0.9,0.02,2.44,NA,NA,NA,NA,NA,NA,NA
7900,Ch out,Chandler WTP outlet,NA,chandler,2/4/2013,2,NA,NA,1.1,0.01,1.36,NA,NA,NA,NA,NA,NA,NA
7901,Glen In,Glendale WTP Inlet,NA,Glen In,2/4/2013,2,NA,NA,5,0.08,1.7,NA,NA,NA,NA,NA,NA,NA
7902,Glen Out,Glendale WTP Outlet,NA,Glen Out,2/4/2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7903,Green In,Greenway WTP Inlet,srp,Green In,2/4/2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7904,Green Out,Greenway WTP Outlet,srp,Green Out,2/4/2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7905,Havasu 1,Havasu lake Sample,NA,Havasu 1,2/4/2013,2,NA,NA,3.1,0.04,1.29,NA,NA,NA,NA,NA,NA,NA
7906,HOC,Head of the Consolidated Canal,az canal,NA,2/4/2013,2,NA,NA,1.1,0.01,1.63,NA,NA,NA,NA,NA,NA,NA
7907,HTC,Head of the Tempe Canal,tempe,head of tempe canal,2/4/2013,2,NA,NA,1.1,0.02,2.09,NA,NA,NA,NA,NA,NA,NA
7908,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2/4/2013,2,NA,NA,3.1,0.06,2.03,NA,NA,NA,NA,NA,NA,NA
7909,Mesa Turnout,Mesa Turnout,NA,Mesa Turnout,2/4/2013,2,NA,NA,1.5,0.02,1.33,NA,NA,NA,NA,NA,NA,NA
7910,MOC,Middle of the Consolidated canal,az canal,NA,2/4/2013,2,NA,NA,1,0.02,2.2,NA,NA,NA,NA,NA,NA,NA
7911,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,2/4/2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7912,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,2/4/2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7913,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,2/4/2013,2,NA,NA,2.5,0.06,2.52,NA,NA,NA,NA,NA,NA,NA
7914,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2/4/2013,2,NA,NA,3.7,0.06,1.72,NA,NA,NA,NA,NA,NA,NA
7915,R11,CAP Canal at Cross-connect,cap,cap @ x con,2/4/2013,2,NA,NA,2.8,0.04,1.64,NA,NA,NA,NA,NA,NA,NA
7916,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/4/2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7917,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/4/2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7918,R20,Verde River at Tangle,verde,verde abv horseshoe,2/4/2013,2,NA,NA,4.4,0.15,3.43,NA,NA,NA,NA,NA,NA,NA
7919,R25,verde river at beeline highway,verde,verde @ beeline,2/4/2013,2,NA,NA,1.8,0.05,3.05,NA,NA,NA,NA,NA,NA,NA
7920,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2/4/2013,2,NA,NA,3.2,0.03,1.21,NA,NA,NA,NA,NA,NA,NA
7921,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2/4/2013,2,NA,NA,3.4,0.03,1.14,NA,NA,NA,NA,NA,NA,NA
7854,Salt Gila,NA,NA,Salt Gila,12/5/2012,12,NA,NA,2.87,0.04,1.63,NA,NA,NA,NA,NA,NA,NA
7855,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,12/5/2012,12,NA,NA,3.02,0.05,1.95,NA,NA,NA,NA,NA,NA,NA
7856,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,12/5/2012,12,NA,NA,0.94,0.01,1.91,NA,NA,NA,NA,NA,NA,NA
7857,SPT Out,Tempe's South Plant treated water,tempe,STP Out,12/5/2012,12,NA,NA,0.37,0.003,0.81,NA,NA,NA,NA,NA,NA,NA
7858,UH In,Union Hills Inlet,cap,Union Hills Inlet,12/5/2012,12,NA,NA,2.66,0.04,1.65,NA,NA,NA,NA,NA,NA,NA
7859,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,12/5/2012,12,NA,NA,2.34,0.02,0.94,NA,NA,NA,NA,NA,NA,NA
7918,R3,Waddell Canal,cap,waddell canal,2/4/2013,2,NA,NA,2.9,0.04,1.55,NA,NA,NA,NA,NA,NA,NA
7919,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2/4/2013,2,NA,NA,2.7,0.07,2.62,NA,NA,NA,NA,NA,NA,NA
7920,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2/4/2013,2,NA,NA,2.1,0.05,2.38,NA,NA,NA,NA,NA,NA,NA
7921,R9A,Saguaro Lake near inlet,salt,saguaro-epi,2/4/2013,2,NA,NA,4.2,0.06,1.61,NA,NA,NA,NA,NA,NA,NA
7922,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi dup,2/4/2013,2,NA,NA,4.7,0.06,1.46,NA,NA,NA,NA,NA,NA,NA
7923,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2/4/2013,2,NA,NA,3.9,0.06,1.69,NA,NA,NA,NA,NA,NA,NA
7924,Roos In ,Roos In ,NA,Roos In ,2/4/2013,2,NA,NA,9.6,0.47,4.94,NA,NA,NA,NA,NA,NA,NA
7925,Salt Gila,Salt Gila,NA,Salt Gila,2/4/2013,2,NA,NA,3.1,0.03,1.22,NA,NA,NA,NA,NA,NA,NA
7926,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,2/4/2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7927,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,2/4/2013,2,NA,NA,1.6,0.01,0.87,NA,NA,NA,NA,NA,NA,NA
7928,SPT Out,Tempe's South Plant treated water,tempe,STP Out,2/4/2013,2,NA,NA,1,0.01,1.1,NA,NA,NA,NA,NA,NA,NA
7929,UH In,Union Hills Inlet,cap,Union Hills Inlet,2/4/2013,2,NA,NA,2.8,0.03,1.17,NA,NA,NA,NA,NA,NA,NA
7930,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,2/4/2013,2,NA,NA,2.3,0.02,1.13,NA,NA,NA,NA,NA,NA,NA
7931,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,3/7/2013,3,NA,NA,3.1,0.06,2,NA,NA,NA,NA,NA,NA,NA
7932,An in,Anthem WTP inlet,NA,anthem,3/7/2013,3,NA,NA,2.7,0.04,1.62,NA,NA,NA,NA,NA,NA,NA
7933,An out,Anthem WTP outlet,NA,anthem,3/7/2013,3,NA,NA,3.1,0.04,1.29,NA,NA,NA,NA,NA,NA,NA
7934,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,3/7/2013,3,NA,NA,3,0.06,2,NA,NA,NA,NA,NA,NA,NA
7935,Ch in,Chandler WTP inlet,NA,chandler,3/7/2013,3,NA,NA,1.4,0.02,1.85,NA,NA,NA,NA,NA,NA,NA
7936,Ch out,Chandler WTP outlet,NA,chandler,3/7/2013,3,NA,NA,0.8,0.01,1.87,NA,NA,NA,NA,NA,NA,NA
7937,Glen In,Glendale WTP Inlet,NA,Glen In,3/7/2013,3,NA,NA,3.8,0.06,1.63,NA,NA,NA,NA,NA,NA,NA
7938,Glen Out,Glendale WTP Outlet,NA,Glen Out,3/7/2013,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7939,Green In,Greenway WTP Inlet,srp,Green In,3/7/2013,3,NA,NA,2.9,0.05,2,NA,NA,NA,NA,NA,NA,NA
7940,Green Out,Greenway WTP Outlet,srp,Green Out,3/7/2013,3,NA,NA,1.9,0.01,0.84,NA,NA,NA,NA,NA,NA,NA
7941,Havasu 1,Havasu lake Sample,NA,Havasu 1,3/7/2013,3,NA,NA,2.68,0.05,1.86,NA,NA,NA,NA,NA,NA,NA
7942,HOC,Head of the Consolidated Canal,az canal,NA,3/7/2013,3,NA,NA,1.3,0.02,2.07,NA,NA,NA,NA,NA,NA,NA
7943,HTC,Head of the Tempe Canal,tempe,head of tempe canal,3/7/2013,3,NA,NA,1.3,0.03,2.38,NA,NA,NA,NA,NA,NA,NA
7944,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,3/7/2013,3,NA,NA,3.1,0.06,2.03,NA,NA,NA,NA,NA,NA,NA
7945,Mesa Turnout,Mesa Turnout,NA,Mesa Turnout,3/7/2013,3,NA,NA,2.6,0.04,1.73,NA,NA,NA,NA,NA,NA,NA
7946,MOC,Middle of the Consolidated canal,az canal,NA,3/7/2013,3,NA,NA,0.9,0.02,3,NA,NA,NA,NA,NA,NA,NA
7947,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,3/7/2013,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7948,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,3/7/2013,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7949,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,3/7/2013,3,NA,NA,3.2,0.06,1.96,NA,NA,NA,NA,NA,NA,NA
7950,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,3/7/2013,3,NA,NA,3.8,0.06,1.76,NA,NA,NA,NA,NA,NA,NA
7951,R11,CAP Canal at Cross-connect,cap,cap @ x con,3/7/2013,3,NA,NA,3.2,0.04,1.46,NA,NA,NA,NA,NA,NA,NA
7952,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,3/7/2013,3,NA,NA,3.1,0.07,2.38,NA,NA,NA,NA,NA,NA,NA
7953,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,3/7/2013,3,NA,NA,3.3,0.08,2.57,NA,NA,NA,NA,NA,NA,NA
7954,R20,Verde River at Tangle,verde,verde abv horseshoe,3/7/2013,3,NA,NA,1.41,0.03,2.55,NA,NA,NA,NA,NA,NA,NA
7955,R25,verde river at beeline highway,verde,verde @ beeline,3/7/2013,3,NA,NA,2.88,0.05,1.73,NA,NA,NA,NA,NA,NA,NA
7956,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,3/7/2013,3,NA,NA,2.92,0.04,1.61,NA,NA,NA,NA,NA,NA,NA
7957,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,3/7/2013,3,NA,NA,2.91,0.05,1.99,NA,NA,NA,NA,NA,NA,NA
7954,R3,Waddell Canal,cap,waddell canal,3/7/2013,3,NA,NA,3.08,0.04,1.42,NA,NA,NA,NA,NA,NA,NA
7955,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,3/7/2013,3,NA,NA,3.71,0.12,3.3,NA,NA,NA,NA,NA,NA,NA
7956,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,3/7/2013,3,NA,NA,2.98,0.09,3.07,NA,NA,NA,NA,NA,NA,NA
7957,R9A,Saguaro Lake near inlet,salt,saguaro-epi,3/7/2013,3,NA,NA,3.96,0.06,1.71,NA,NA,NA,NA,NA,NA,NA
7958,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi dup,3/7/2013,3,NA,NA,4.99,0.07,1.4,NA,NA,NA,NA,NA,NA,NA
7959,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,3/7/2013,3,NA,NA,4.08,0.06,1.61,NA,NA,NA,NA,NA,NA,NA
7960,Roos In ,Roos In ,NA,Roos In ,3/7/2013,3,NA,NA,3.05,0.13,4.26,NA,NA,NA,NA,NA,NA,NA
7961,Salt Gila,Salt Gila,NA,Salt Gila,3/7/2013,3,NA,NA,2.72,0.04,1.76,NA,NA,NA,NA,NA,NA,NA
7962,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,3/7/2013,3,NA,NA,3.11,0.06,2.05,NA,NA,NA,NA,NA,NA,NA
7963,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,3/7/2013,3,NA,NA,0.57,0.01,1.91,NA,NA,NA,NA,NA,NA,NA
7964,SPT Out,Tempe's South Plant treated water,tempe,STP Out,3/7/2013,3,NA,NA,0.54,0.008,1.46,NA,NA,NA,NA,NA,NA,NA
7965,UH In,Union Hills Inlet,cap,Union Hills Inlet,3/7/2013,3,NA,NA,2.64,0.04,1.66,NA,NA,NA,NA,NA,NA,NA
7966,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,3/7/2013,3,NA,NA,2.15,0.02,1.06,NA,NA,NA,NA,NA,NA,NA
7967,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,4/1/2013,4,NA,NA,2.92,0.07,2.5,NA,NA,NA,NA,NA,NA,NA
7968,An in,Anthem WTP inlet,NA,anthem,4/1/2013,4,NA,NA,2.68,0.01,0.41,NA,NA,NA,NA,NA,NA,NA
7969,An out,Anthem WTP outlet,NA,anthem,4/1/2013,4,NA,NA,2.53,0.01,0.43,NA,NA,NA,NA,NA,NA,NA
7970,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,4/1/2013,4,NA,NA,2.77,0.07,2.77,NA,NA,NA,NA,NA,NA,NA
7971,Ch in,Chandler WTP inlet,NA,chandler,4/1/2013,4,NA,NA,1.36,0.06,4.7,NA,NA,NA,NA,NA,NA,NA
7972,Ch out,Chandler WTP outlet,NA,chandler,4/1/2013,4,NA,NA,0.96,0.01,1.87,NA,NA,NA,NA,NA,NA,NA
7973,Glen In,Glendale WTP Inlet,NA,Glen In,4/1/2013,4,NA,NA,2.56,0.07,2.85,NA,NA,NA,NA,NA,NA,NA
7974,Glen Out,Glendale WTP Outlet,NA,Glen Out,4/1/2013,4,NA,NA,1.46,0.02,1.84,NA,NA,NA,NA,NA,NA,NA
7975,Green In,Greenway WTP Inlet,srp,Green In,4/1/2013,4,NA,NA,3.02,0.07,2.41,NA,NA,NA,NA,NA,NA,NA
7976,Green Out,Greenway WTP Outlet,srp,Green Out,4/1/2013,4,NA,NA,1.71,0.02,1.34,NA,NA,NA,NA,NA,NA,NA
7977,Havasu 1,Havasu lake Sample,NA,Havasu 1,4/1/2013,4,NA,NA,2.91,0.05,1.85,NA,NA,NA,NA,NA,NA,NA
7978,HOC,Head of the Consolidated Canal,az canal,NA,4/1/2013,4,NA,NA,2.12,0.06,3.01,NA,NA,NA,NA,NA,NA,NA
7979,HTC,Head of the Tempe Canal,tempe,head of tempe canal,4/1/2013,4,NA,NA,1.92,0.05,2.81,NA,NA,NA,NA,NA,NA,NA
7980,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,4/1/2013,4,NA,NA,2.69,0.07,2.78,NA,NA,NA,NA,NA,NA,NA
7981,Mesa Turnout,Mesa Turnout,NA,Mesa Turnout,4/1/2013,4,NA,NA,4.09,0.05,1.22,NA,NA,NA,NA,NA,NA,NA
7982,MOC,Middle of the Consolidated canal,az canal,NA,4/1/2013,4,NA,NA,1.68,0.04,2.79,NA,NA,NA,NA,NA,NA,NA
7983,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,4/1/2013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7984,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,4/1/2013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7985,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,4/1/2013,4,NA,NA,2.95,0.07,2.57,NA,NA,NA,NA,NA,NA,NA
7986,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,4/1/2013,4,NA,NA,3.79,0.06,1.82,NA,NA,NA,NA,NA,NA,NA
7987,R11,CAP Canal at Cross-connect,cap,cap @ x con,4/1/2013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7988,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/1/2013,4,NA,NA,2.61,0.07,2.91,NA,NA,NA,NA,NA,NA,NA
7989,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,4/1/2013,4,NA,NA,2.63,0.08,3.38,NA,NA,NA,NA,NA,NA,NA
7990,R20,Verde River at Tangle,verde,verde abv horseshoe,4/1/2013,4,NA,NA,2.25,0.06,3.06,NA,NA,NA,NA,NA,NA,NA
7991,R25,verde river at beeline highway,verde,verde @ beeline,4/1/2013,4,NA,NA,2.82,0.08,3.01,NA,NA,NA,NA,NA,NA,NA
7992,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,4/1/2013,4,NA,NA,3.03,0.04,1.61,NA,NA,NA,NA,NA,NA,NA
7993,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,4/1/2013,4,NA,NA,3.34,0.04,1.43,NA,NA,NA,NA,NA,NA,NA
7990,R3,Waddell Canal,cap,waddell canal,4/1/2013,4,NA,NA,2.92,0.04,1.6,NA,NA,NA,NA,NA,NA,NA
7991,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,4/1/2013,4,NA,NA,4.99,0.15,3.08,NA,NA,NA,NA,NA,NA,NA
7992,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,4/1/2013,4,NA,NA,4.11,0.12,2.94,NA,NA,NA,NA,NA,NA,NA
7993,R9A,Saguaro Lake near inlet,salt,saguaro-epi,4/1/2013,4,NA,NA,4.55,0.07,1.6,NA,NA,NA,NA,NA,NA,NA
7994,R9A-Dup,Saguaro Lake near inlet,salt,saguaro-epi dup,4/1/2013,4,NA,NA,4.22,0.07,1.68,NA,NA,NA,NA,NA,NA,NA
7995,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,4/1/2013,4,NA,NA,4.02,0.06,1.69,NA,NA,NA,NA,NA,NA,NA
7996,Roos In ,Roos In ,NA,Roos In ,4/1/2013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7997,Salt Gila,Salt Gila,NA,Salt Gila,4/1/2013,4,NA,NA,5.54,0.05,0.93,NA,NA,NA,NA,NA,NA,NA
7998,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,4/1/2013,4,NA,NA,2.57,0.07,2.91,NA,NA,NA,NA,NA,NA,NA
7999,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,4/1/2013,4,NA,NA,0.91,0.08,8.79,NA,NA,NA,NA,NA,NA,NA
8000,SPT Out,Tempe's South Plant treated water,tempe,STP Out,4/1/2013,4,NA,NA,0.68,0.02,3.97,NA,NA,NA,NA,NA,NA,NA
8001,UH In,Union Hills Inlet,cap,Union Hills Inlet,4/1/2013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8002,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,4/1/2013,4,NA,NA,1.4,0.01,0.78,NA,NA,NA,NA,NA,NA,NA
8003,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,5/6/2013,5,NA,NA,3.29,0.07,2.34,NA,NA,NA,NA,NA,NA,NA
8004,An in,Anthem WTP inlet,NA,anthem,5/6/2013,5,NA,NA,3.03,0.04,1.58,NA,NA,NA,NA,NA,NA,NA
8005,An out,Anthem WTP outlet,NA,anthem,5/6/2013,5,NA,NA,2.79,0.04,1.64,NA,NA,NA,NA,NA,NA,NA
8006,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,5/6/2013,5,NA,NA,3.32,0.08,2.46,NA,NA,NA,NA,NA,NA,NA
8007,Ch in,Chandler WTP inlet,NA,chandler,5/6/2013,5,NA,NA,2.16,0.05,2.4,NA,NA,NA,NA,NA,NA,NA
8008,Ch out,Chandler WTP outlet,NA,chandler,5/6/2013,5,NA,NA,1.63,0.03,2.08,NA,NA,NA,NA,NA,NA,NA
8009,Glen In,Glendale WTP Inlet,NA,Glen In,5/6/2013,5,NA,NA,2.89,0.07,2.49,NA,NA,NA,NA,NA,NA,NA
8010,Glen Out,Glendale WTP Outlet,NA,Glen Out,5/6/2013,5,NA,NA,2.05,0.03,1.7,NA,NA,NA,NA,NA,NA,NA
8011,Green In,Greenway WTP Inlet,srp,Green In,5/6/2013,5,NA,NA,3.07,0.06,2.21,NA,NA,NA,NA,NA,NA,NA
8012,Green Out,Greenway WTP Outlet,srp,Green Out,5/6/2013,5,NA,NA,2.07,0.02,1.15,NA,NA,NA,NA,NA,NA,NA
8013,Havasu 1,Havasu lake Sample,NA,Havasu 1,5/6/2013,5,NA,NA,2.84,0.04,1.47,NA,NA,NA,NA,NA,NA,NA
8014,HOC,Head of the Consolidated Canal,az canal,NA,5/6/2013,5,NA,NA,2.54,0.07,2.75,NA,NA,NA,NA,NA,NA,NA
8015,HTC,Head of the Tempe Canal,tempe,head of tempe canal,5/6/2013,5,NA,NA,2.68,0.07,2.64,NA,NA,NA,NA,NA,NA,NA
8016,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,5/6/2013,5,NA,NA,3.11,0.07,2.41,NA,NA,NA,NA,NA,NA,NA
8017,Mesa Turnout,Mesa Turnout,NA,Mesa Turnout,5/6/2013,5,NA,NA,5.24,0.03,0.72,NA,NA,NA,NA,NA,NA,NA
8018,MOC,Middle of the Consolidated canal,az canal,NA,5/6/2013,5,NA,NA,2.25,0.05,2.31,NA,NA,NA,NA,NA,NA,NA
8019,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,5/6/2013,5,NA,NA,3.23,0.07,2.44,NA,NA,NA,NA,NA,NA,NA
8020,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,5/6/2013,5,NA,NA,2.66,0.04,1.84,NA,NA,NA,NA,NA,NA,NA
8021,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,5/6/2013,5,NA,NA,3.29,0.07,2.34,NA,NA,NA,NA,NA,NA,NA
8040,An in,Anthem WTP inlet,NA,anthem,6/3/2013,6,NA,NA,2.9,0.03,1.13,NA,NA,NA,NA,NA,NA,NA
8041,An out,Anthem WTP outlet,NA,anthem,6/3/2013,6,NA,NA,2.68,0.03,1.11,NA,NA,NA,NA,NA,NA,NA
8042,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/3/2013,6,NA,NA,3.76,0.06,1.67,NA,NA,NA,NA,NA,NA,NA
8043,Ch in,Chandler WTP inlet,NA,chandler,6/3/2013,6,NA,NA,3.94,0.05,1.37,NA,NA,NA,NA,NA,NA,NA
8044,Ch out,Chandler WTP outlet,NA,chandler,6/3/2013,6,NA,NA,2.51,0.02,0.99,NA,NA,NA,NA,NA,NA,NA
8045,Glen In,Glendale WTP Inlet,NA,Glen In,6/3/2013,6,NA,NA,3.4,0.05,1.64,NA,NA,NA,NA,NA,NA,NA
8046,Glen Out,Glendale WTP Outlet,NA,Glen Out,6/3/2013,6,NA,NA,2.38,0.02,0.84,NA,NA,NA,NA,NA,NA,NA
8047,Green In,Greenway WTP Inlet,srp,Green In,6/3/2013,6,NA,NA,3.42,0.05,1.57,NA,NA,NA,NA,NA,NA,NA
8048,Green Out,Greenway WTP Outlet,srp,Green Out,6/3/2013,6,NA,NA,2.41,0.008,0.33,NA,NA,NA,NA,NA,NA,NA
8049,Havasu 1,Havasu lake Sample,NA,Havasu 1,6/3/2013,6,NA,NA,2.86,0.05,1.88,NA,NA,NA,NA,NA,NA,NA
8050,HOC,Head of the Consolidated Canal,az canal,NA,6/3/2013,6,NA,NA,3.75,0.06,1.6,NA,NA,NA,NA,NA,NA,NA
8051,HTC,Head of the Tempe Canal,tempe,head of tempe canal,6/3/2013,6,NA,NA,3.75,0.06,1.62,NA,NA,NA,NA,NA,NA,NA
8052,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/3/2013,6,NA,NA,3.94,0.06,1.59,NA,NA,NA,NA,NA,NA,NA
8053,Mesa Turnout,Mesa Turnout,NA,Mesa Turnout,6/3/2013,6,NA,NA,3.05,0.05,1.67,NA,NA,NA,NA,NA,NA,NA
8054,MOC,Middle of the Consolidated canal,az canal,NA,6/3/2013,6,NA,NA,3.48,0.05,1.66,NA,NA,NA,NA,NA,NA,NA
8055,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,6/3/2013,6,NA,NA,3.72,0.06,1.69,NA,NA,NA,NA,NA,NA,NA
